date,time,temp_c,temp_f,condition,wind_mph,wind_kph,wind_degree,wind_direction,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,will_it_snow,chance_of_rain,chance_of_snow,is_day,gust_mph,gust_kph,uv,visibility_km,visibility_miles
2025-02-28,2025-02-28 00:00,27.4,81.4,Clear ,4.5,7.2,145,SE,1012.0,29.88,0.0,0.0,0.0,49,18,28.0,82.5,27.4,81.4,28.0,82.5,15.9,60.6,0,0,0,0,0,9.3,14.9,0,10.0,6.0
2025-02-28,2025-02-28 01:00,26.8,80.2,Patchy rain nearby,5.4,8.6,159,SSE,1011.0,29.86,0.28,0.01,0.0,53,83,27.5,81.6,26.8,80.2,27.5,81.6,16.3,61.3,1,0,100,0,0,11.1,17.9,0,9.0,5.0
2025-02-28,2025-02-28 02:00,25.8,78.5,Patchy rain nearby,5.1,8.3,171,S,1010.0,29.84,0.1,0.0,0.0,58,72,26.9,80.4,25.8,78.5,26.9,80.4,16.9,62.4,1,0,100,0,0,10.8,17.4,0,10.0,6.0
2025-02-28,2025-02-28 03:00,25.7,78.2,Partly Cloudy ,4.7,7.6,169,S,1010.0,29.82,0.0,0.0,0.0,59,26,26.8,80.2,25.7,78.2,26.8,80.2,17.1,62.7,0,0,0,0,0,9.6,15.5,0,10.0,6.0
2025-02-28,2025-02-28 04:00,25.3,77.6,Partly Cloudy ,3.8,6.1,150,SSE,1010.0,29.83,0.0,0.0,0.0,61,28,26.6,79.8,25.4,77.6,26.6,79.8,17.3,63.2,0,0,0,0,0,7.4,12.0,0,10.0,6.0
2025-02-28,2025-02-28 05:00,25.0,77.0,Partly Cloudy ,4.0,6.5,94,E,1011.0,29.85,0.0,0.0,0.0,63,27,26.3,79.4,25.0,77.0,26.3,79.4,17.5,63.5,0,0,0,0,0,7.7,12.4,0,10.0,6.0
2025-02-28,2025-02-28 06:00,24.8,76.7,Partly Cloudy ,4.0,6.5,90,E,1012.0,29.88,0.0,0.0,0.0,64,27,26.2,79.2,24.8,76.7,26.2,79.2,17.6,63.6,0,0,0,0,0,7.8,12.5,0,10.0,6.0
2025-02-28,2025-02-28 07:00,25.5,77.8,Partly Cloudy ,5.6,9.0,116,ESE,1012.0,29.89,0.0,0.0,0.0,63,29,26.8,80.2,25.5,77.8,26.8,80.2,17.8,64.1,0,0,0,0,1,9.7,15.7,0.2,10.0,6.0
2025-02-28,2025-02-28 08:00,27.9,82.3,Partly Cloudy ,8.1,13.0,127,SE,1013.0,29.91,0.0,0.0,0.0,54,45,29.1,84.3,27.9,82.3,29.1,84.3,17.9,64.1,0,0,0,0,1,9.9,15.9,0.9,10.0,6.0
2025-02-28,2025-02-28 09:00,30.2,86.4,Partly Cloudy ,8.5,13.7,134,SE,1013.0,29.92,0.0,0.0,0.0,47,48,31.4,88.5,30.2,86.4,31.4,88.5,17.7,63.9,0,0,0,0,1,9.8,15.7,2.9,10.0,6.0
